,stim,condition_name,trial_type,display_trial_feedback,hand,iti_dur,key_hand_dict,start_time,trial_dur
0,4,easy,True,True,right,0.5,key_hand_dict_binary_right,0.0,2
1,4,easy,True,True,right,0.5,key_hand_dict_binary_right,2.5,2
2,8,hard,False,True,right,0.5,key_hand_dict_binary_right,5.0,2
3,8,hard,True,True,right,0.5,key_hand_dict_binary_right,7.5,2
4,8,hard,False,True,right,0.5,key_hand_dict_binary_right,10.0,2
5,4,easy,False,True,right,0.5,key_hand_dict_binary_right,12.5,2
6,8,hard,True,True,right,0.5,key_hand_dict_binary_right,15.0,2
7,4,easy,False,True,right,0.5,key_hand_dict_binary_right,17.5,2
8,4,easy,False,True,right,0.5,key_hand_dict_binary_right,20.0,2
9,4,easy,True,True,right,0.5,key_hand_dict_binary_right,22.5,2
10,8,hard,False,True,right,0.5,key_hand_dict_binary_right,25.0,2
11,8,hard,True,True,right,0.5,key_hand_dict_binary_right,27.5,2
